"date_time","temperature","humidity","pressure_hpa","soil_moisture"
"11/11/2025 18:22:02",27.89,71.44,1012.59,0
"11/11/2025 18:22:32",27.89,71.43,1012.62,0
"11/11/2025 18:22:32",27.89,71.43,1012.62,0
"11/11/2025 18:22:32",27.89,71.43,1012.62,0
"11/11/2025 18:23:02",27.88,71.52,1012.59,1.35
"11/11/2025 18:23:02",27.88,71.52,1012.59,1.35
"11/11/2025 18:23:32",27.88,71.48,1012.6,1.1
"11/11/2025 18:24:02",27.87,71.49,1012.6,1.4
"11/11/2025 18:24:32",27.87,71.49,1012.6,2.15
"11/11/2025 18:25:02",27.88,71.49,1012.6,2
"11/11/2025 18:25:32",27.88,71.57,1012.62,1.55
"11/11/2025 18:26:02",27.87,71.53,1012.67,1.95
"11/11/2025 18:27:32",27.86,71.51,1012.63,1.35
"11/11/2025 18:28:02",27.86,71.59,1012.67,1.15
"11/11/2025 18:28:02",27.86,71.59,1012.67,1.15
"11/11/2025 18:28:32",27.85,71.59,1012.65,1.35
"11/11/2025 18:29:02",27.85,71.62,1012.65,0.95
"11/11/2025 18:29:02",27.85,71.62,1012.65,0.95
"11/11/2025 18:29:02",27.85,71.62,1012.65,0.95
"11/11/2025 18:29:02",27.85,71.62,1012.65,0.95
"11/11/2025 18:29:32",27.85,71.62,1012.69,1.25
"11/11/2025 18:29:32",27.85,71.62,1012.69,1.25
"11/11/2025 18:29:32",27.85,71.62,1012.69,1.25
"11/11/2025 18:29:32",27.85,71.62,1012.69,1.25
"11/11/2025 18:29:32",27.85,71.62,1012.69,1.25
"11/11/2025 18:30:02",27.84,71.56,1012.66,0.5
"11/11/2025 18:30:02",27.84,71.56,1012.66,0.5
"11/11/2025 18:30:02",27.84,71.56,1012.66,0.5
"11/11/2025 18:30:02",27.84,71.56,1012.66,0.5
"11/11/2025 18:30:02",27.84,71.56,1012.66,0.5
"11/11/2025 18:30:32",27.83,71.63,1012.7,0.6
"11/11/2025 18:30:32",27.83,71.63,1012.7,0.6
"11/11/2025 18:30:32",27.83,71.63,1012.7,0.6
"11/11/2025 18:30:32",27.83,71.63,1012.7,0.6
"11/11/2025 18:31:02",27.83,71.66,1012.68,0.7
"11/11/2025 18:31:02",27.83,71.66,1012.68,0.7
"11/11/2025 18:31:02",27.83,71.66,1012.68,0.7
"11/11/2025 18:31:32",27.84,71.67,1012.7,0.95
"11/11/2025 18:31:32",27.84,71.67,1012.7,0.95
"11/11/2025 18:31:32",27.84,71.67,1012.7,0.95
"11/11/2025 18:31:32",27.84,71.67,1012.7,0.95
"11/11/2025 18:31:32",27.84,71.67,1012.7,0.95
"11/11/2025 18:31:32",27.84,71.67,1012.7,0.95
"11/11/2025 18:32:02",27.82,71.64,1012.68,0.35
"11/11/2025 18:32:02",27.82,71.64,1012.68,0.35
"11/11/2025 18:32:32",27.82,71.62,1012.7,1.65
"11/11/2025 18:32:32",27.82,71.62,1012.7,1.65
"11/11/2025 18:32:32",27.82,71.62,1012.7,1.65
"11/11/2025 18:33:02",27.82,71.65,1012.67,0.4
"11/11/2025 18:33:02",27.82,71.65,1012.67,0.4
"11/11/2025 18:33:02",27.82,71.65,1012.67,0.4
"11/11/2025 18:33:02",27.82,71.65,1012.67,0.4
"11/11/2025 18:33:02",27.82,71.65,1012.67,0.4
"11/11/2025 18:33:32",27.82,71.64,1012.64,0
"11/11/2025 18:33:32",27.82,71.64,1012.64,0
"11/11/2025 18:33:32",27.82,71.64,1012.64,0
"11/11/2025 18:33:32",27.82,71.64,1012.64,0
"11/11/2025 18:33:32",27.82,71.64,1012.64,0
"11/11/2025 18:34:02",27.81,71.64,1012.66,0
"11/11/2025 18:42:32",27.77,71.85,1012.89,0
"11/11/2025 18:42:32",27.77,71.85,1012.89,0
"11/11/2025 18:43:02",27.78,71.92,1012.88,0
"11/11/2025 18:43:32",27.77,71.98,1012.91,0
"11/11/2025 18:44:02",27.77,71.9,1012.9,0
"11/11/2025 18:44:32",27.77,71.82,1012.9,0
"11/11/2025 18:44:32",27.77,71.82,1012.9,0
"11/11/2025 18:45:02",27.77,71.9,1012.92,0
"11/11/2025 18:45:32",27.77,71.9,1012.93,0
"11/11/2025 18:46:02",27.77,71.99,1012.97,0
"11/11/2025 18:46:32",27.77,71.9,1012.98,0
"11/11/2025 18:47:02",27.76,71.89,1012.97,0
"11/11/2025 18:47:32",27.76,71.95,1012.97,0
"11/11/2025 18:48:02",27.76,71.96,1013,0
"11/11/2025 18:48:32",27.75,71.9,1012.98,0
"11/11/2025 18:49:02",27.75,71.94,1012.98,0
"11/11/2025 18:49:32",27.75,71.96,1012.98,0
"11/11/2025 18:50:02",27.75,72.02,1013.02,0
"11/11/2025 18:50:32",27.75,72.01,1012.99,0
"11/11/2025 18:51:02",27.75,72.01,1013.01,0
"11/11/2025 18:51:32",27.75,72.05,1013.01,0
"11/11/2025 18:52:02",27.76,72.06,1013.04,0
"11/11/2025 18:52:32",27.76,72.05,1013.02,0
"11/11/2025 18:53:02",27.76,72.06,1013.01,0
"11/11/2025 18:53:32",27.75,72.09,1013.01,0
"11/11/2025 18:54:02",27.74,72.07,1013,0
"11/11/2025 18:54:32",27.74,72.09,1013.01,0
"11/11/2025 18:55:02",27.74,72.07,1012.97,0
"11/11/2025 18:55:32",27.74,72.04,1013.01,0
"11/11/2025 18:56:02",27.74,72.08,1013.05,0
"11/11/2025 18:56:32",27.73,72.09,1013.03,0
"11/11/2025 18:57:02",27.74,72.06,1013.03,0
"11/11/2025 18:57:32",27.74,72.08,1013.05,0
"11/11/2025 18:58:02",27.74,72.15,1013.05,0
"11/11/2025 18:58:32",27.74,72.11,1013.09,0
"11/11/2025 18:59:02",27.74,72.08,1013.11,0
"11/11/2025 18:59:33",27.74,72.04,1013.11,0
"11/11/2025 19:00:03",27.74,72.08,1013.11,0
"11/11/2025 19:00:33",27.73,72.09,1013.09,0
"11/11/2025 19:01:03",27.72,72.11,1013.11,0
"11/11/2025 19:01:33",27.72,72.13,1013.12,0
"11/11/2025 19:02:03",27.73,72.04,1013.13,0
"11/11/2025 19:02:33",27.73,72.17,1013.14,0
"11/11/2025 19:03:03",27.72,72.13,1013.14,0
"11/11/2025 19:03:33",27.72,72.11,1013.13,0
"11/11/2025 19:04:03",27.73,72.14,1013.16,0
"11/11/2025 19:04:33",27.73,72.15,1013.16,0
"11/11/2025 19:05:03",27.73,72.15,1013.16,0
"11/11/2025 19:05:33",27.72,72.13,1013.15,0
"11/11/2025 19:06:03",27.73,72.17,1013.19,0
"11/11/2025 19:06:33",27.72,72.16,1013.18,0
"11/11/2025 19:07:03",27.72,72.16,1013.19,0
"11/11/2025 19:07:33",27.71,72.12,1013.21,0
"11/11/2025 19:08:03",27.71,72.08,1013.25,0
"11/11/2025 19:08:33",27.71,72.19,1013.23,0
"11/11/2025 19:09:03",27.71,72.16,1013.24,0
"11/11/2025 19:09:33",27.71,72.2,1013.23,0
"11/11/2025 19:10:03",27.71,72.23,1013.24,0
"11/11/2025 19:10:33",27.71,72.23,1013.22,0
"11/11/2025 19:11:03",27.71,72.19,1013.24,0
"11/11/2025 19:11:33",27.7,72.25,1013.23,0
"11/11/2025 19:12:03",27.71,72.22,1013.26,0
"11/11/2025 19:12:33",27.71,72.18,1013.27,0
"11/11/2025 19:13:03",27.72,72.19,1013.25,0
"11/11/2025 19:13:33",27.71,72.19,1013.26,0
"11/11/2025 19:14:03",27.72,72.18,1013.29,0
"11/11/2025 19:14:33",27.73,72.29,1013.3,0
"11/11/2025 19:15:03",27.72,72.21,1013.29,0
"11/11/2025 19:15:33",27.72,72.2,1013.29,0
"11/11/2025 19:16:03",27.72,72.2,1013.29,0
"11/11/2025 19:16:33",27.73,72.27,1013.29,0
"11/11/2025 19:17:03",27.72,72.18,1013.28,0
"11/11/2025 19:17:33",27.73,72.18,1013.31,0
"11/11/2025 19:18:03",27.72,72.25,1013.3,0
"11/11/2025 19:18:33",27.73,72.29,1013.34,0
"11/11/2025 19:19:03",27.73,72.22,1013.31,0
"11/11/2025 19:19:33",27.72,72.25,1013.36,0
"11/11/2025 19:20:03",27.71,72.34,1013.34,0
"11/11/2025 19:20:33",27.71,72.33,1013.36,0
"11/11/2025 19:21:03",27.7,72.3,1013.34,0
"11/11/2025 19:21:33",27.7,72.3,1013.37,0
"11/11/2025 19:22:03",27.7,72.35,1013.39,0
"11/11/2025 19:22:33",27.7,72.3,1013.38,0
"11/11/2025 19:23:03",27.7,72.33,1013.39,0
"11/11/2025 19:23:33",27.7,72.35,1013.42,0
"11/11/2025 19:24:03",27.7,72.36,1013.41,0
"11/11/2025 19:24:33",27.7,72.31,1013.41,0
"11/11/2025 19:25:03",27.7,72.33,1013.43,0
"11/11/2025 19:25:33",27.7,72.34,1013.43,0
